W,H,S,E,Z,
3.4745033,3.2772049,2.3747488,8.1237124,69.7693084,
7.6717605,6.3500000,2.0000000,2.2012446,81.9288890,
8.5865645,6.2402893,2.3850602,4.9956738,63.1136468,
2.5584245,4.3809517,3.2235636,7.9839445,82.6372339,
3.1733549,1.2564651,9.5740227,2.3934588,196.0350308,
8.2270713,7.2665611,7.2769707,1.0751161,146.6893962,
0.3459030,9.9229359,6.9817739,7.9098827,156.2583802,
1.5434635,6.3500000,2.0000000,5.9948839,90.3725650,
6.7648397,8.6637361,9.9918531,1.6075744,156.6993428,
2.1820444,7.0775736,1.3886787,4.5701701,80.8304851,
0.6545644,1.1055553,3.0829554,9.6315775,125.6821764,
3.1587463,8.5024795,9.3601368,7.0143200,112.5749676,
5.9207634,7.2159587,2.9578243,4.0572529,80.6613423,
1.1486467,4.9816885,4.3696070,4.5442871,140.1924072,
7.5239830,1.1643038,8.8766766,2.9112544,149.1477694,
